"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970–2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: For 1970 and 1980, the share of adults with less than high school includes those who had not completed the 12th grade. In 1990, 2000, and estimates from the 5-year period American Conmunity Survey, the share includes those who did not receive a high school diploma or its equivalent (such as a GED). For definitions of rural classifications, see the USDA, Economic Research Service webpage ""Rural Classifications"" in the ""Rural Economy and Population"" topic. Note that counties not existing when rural classifications were determined will not have values for those fields.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: USDA, Economic Research Service using data from U.S. Department of Commerce, Bureau of the Census, 1970, 1980, 1990, 2000 Censuses of Population, and 2008–12 and 2017–21 American Community Survey 5-year period county-level estimates. Data as of January 24, 2023. For more information contact Austin Sanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Information Processing Standard (FIPS) Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2008-12","High school diploma only, 2008-12","Some college or associate's degree, 2008-12","Bachelor's degree or higher, 2008-12","Percent of adults with less than a high school diploma, 2008-12","Percent of adults with a high school diploma only, 2008-12","Percent of adults completing some college or associate's degree, 2008-12","Percent of adults with a bachelor's degree or higher, 2008-12","Less than a high school diploma, 2017-21","High school diploma only, 2017-21","Some college or associate's degree, 2017-21","Bachelor's degree or higher, 2017-21","Percent of adults with less than a high school diploma, 2017-21","Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21"
01017,AL,Chambers County,6,5,6,5,13616,4816,927,847,67.4,23.8,4.6,4.2,12616,6544,2238,1710,54.6,28.3,9.7,7.4,10833,6749,3998,2101,45.7,28.5,16.9,8.9,8778,7863,5517,2339,35.8,32.1,22.5,9.5,6194,8277,6546,2604,26.2224291943609,35.0408534778375,27.712628593201,11.0240887346006,4275,8996,8167,3390,17.2184630256162,36.2332850008055,32.8943128725632,13.653939101015
01019,AL,Cherokee County,8,6,6,6,6126,1878,440,329,69.8,21.4,5,3.8,6372,3158,985,712,56.8,28.1,8.8,6.3,6030,4092,1966,866,46.5,31.6,15.2,6.7,6138,5865,3186,1636,36.5,34.9,18.9,9.7,4241,6206,5627,2429,22.9206074690591,33.5405069448198,30.4112846565422,13.127600929579,3720,6809,5543,2364,20.1779127793448,36.9331742243437,30.0661748752441,12.8227381210675
01021,AL,Chilton County,1,1,1,1,10285,2805,538,415,73.2,20,3.8,3,9678,5578,1518,1158,54,31.1,8.5,6.5,9023,6770,3438,1550,43.4,32.6,16.5,7.5,8757,9264,5307,2574,33.8,35.8,20.5,9.9,7023,11356,6958,3608,24.2632579029193,39.2330281568492,24.0386940749698,12.4650198652617,5569,13113,7719,4133,18.2386847448746,42.9455688740421,25.2800157201808,13.5357306609026
01023,AL,Choctaw County,9,10,9,10,5720,1922,378,362,68.2,22.9,4.5,4.3,5095,2695,777,640,55.3,29.3,8.4,7,4482,3070,1418,836,45.7,31.3,14.5,8.5,3704,3670,2182,1013,35,34.7,20.6,9.6,2488,3683,2298,1148,25.870853696579,38.2967661432879,23.8951856088177,11.9371945513154,1802,3477,2915,1087,19.416011205689,37.4636353841181,31.4082534209676,11.7120999892253
01025,AL,Clarke County,7,11,7,11,8459,3485,800,738,62.7,25.8,5.9,5.5,7627,4596,1510,1344,50.6,30.5,10,8.9,6471,5445,2614,1755,39.7,33.4,16.1,10.8,5165,6667,3733,2137,29.2,37.7,21.1,12.1,3716,7122,4190,2186,21.5870802834902,41.3733008016731,24.3406529568955,12.6989659579412,2892,6740,4378,2259,17.7761386686336,41.428483619153,26.9100743745774,13.885303337636
01027,AL,Clay County,9,10,9,10,4784,1719,345,311,66.8,24,4.8,4.3,4301,2583,690,479,53.4,32.1,8.6,5.9,3999,2692,1340,628,46.2,31.1,15.5,7.3,3322,3690,1992,763,34,37.8,20.4,7.8,2499,3696,2622,856,25.8347978910369,38.2094489817016,27.1063785795513,8.84937454771012,1694,3813,3128,1334,16.9926772996288,38.2485705687632,31.3772695355602,13.3814825960478
01029,AL,Cleburne County,8,4,8,4,4431,1198,272,162,73.1,19.8,4.5,2.7,4578,2031,385,431,61.7,27.4,5.2,5.8,4068,2394,1110,529,50.2,29.6,13.7,6.5,3536,3417,1701,879,37.1,35.8,17.8,9.2,2622,3871,2716,964,25.7741079327632,38.0517054949376,26.6981224810774,9.47606409122186,1789,3958,3082,1730,16.9428923193484,37.4846102850649,29.1883701108059,16.3841272847808
01031,AL,Coffee County,6,5,4,5,10790,4861,1332,1040,59.9,27,7.4,5.8,9836,6696,3378,2766,43.4,29.5,14.9,12.2,8522,6824,6354,4274,32.8,26.3,24.5,16.5,7755,7571,7985,5574,26.8,26.2,27.6,19.3,6092,9877,9897,7543,18.2346074411087,29.5638899697686,29.6237540782424,22.5777485108803,4934,10108,12919,8202,13.6437795536875,27.9512208611011,35.724359151619,22.6806404335923
01033,AL,Colbert County,3,2,3,2,15050,7986,2151,1554,56.3,29.9,8,5.8,14231,11210,3756,3034,44.2,34.8,11.7,9.4,11952,11110,7293,3956,34.8,32.4,21.3,11.5,9972,12665,9474,5273,26.7,33.9,25.3,14.1,6289,13254,11550,6843,16.5779207085618,34.9377899620413,30.4460143399409,18.0382749894559,5333,15244,12600,7213,13.2037633077494,37.7420153503342,31.1958405545927,17.8583807873236
01035,AL,Conecuh County,9,11,7,11,5889,1709,332,342,71.2,20.7,4,4.1,5197,2569,714,556,57.5,28.4,7.9,6.2,4242,2927,1219,574,47.3,32.7,13.6,6.4,2984,3518,1877,851,32.3,38.1,20.3,9.2,2164,3681,2216,869,24.2329227323628,41.2206047032475,24.8152295632699,9.73124300111982,1077,4200,2309,1079,12.4293133294864,48.4708597807271,26.6474321984997,12.4523946912868
01037,AL,Coosa County,8,7,8,3,3983,1260,269,196,69.8,22.1,4.7,3.4,3780,2100,529,237,56.9,31.6,8,3.6,3315,2403,1010,456,46.1,33.4,14.1,6.3,2831,3164,1597,663,34.3,38.3,19.3,8,1974,3576,1816,787,24.2119465227524,43.8611554029192,22.2740095670305,9.65288850729793,1217,3410,2623,915,14.9050826699326,41.7636252296387,32.1249234537661,11.2063686466626
01039,AL,Covington County,7,9,6,6,13470,4333,1014,918,68.3,22,5.1,4.7,12771,6401,2108,1636,55.7,27.9,9.2,7.1,10288,6962,4642,2198,42.7,28.9,19.3,9.1,8115,8473,5975,3142,31.6,33,23.2,12.2,5936,8949,7718,3607,22.6478443342236,34.1434566959176,29.4467760396795,13.7619229301793,3915,10037,8293,4176,14.8177586011127,37.9887210930699,31.3879111312971,15.8056091745203
01041,AL,Crenshaw County,8,6,8,6,5595,1295,385,296,73.9,17.1,5.1,3.9,5285,2062,549,576,62.4,24.3,6.5,6.8,4286,2444,1327,740,48.7,27.8,15.1,8.4,3700,2689,1840,1039,39.9,29,19.9,11.2,2245,3691,2496,1045,23.6889310963385,38.9469241321093,26.3374485596708,11.0266962118814,1742,3882,2133,1524,18.7695291455662,41.8273892899472,22.9824372373667,16.4206443271199
01043,AL,Cullman County,6,3,4,3,20137,6244,1405,1113,69.7,21.6,4.9,3.9,19635,11353,3122,2671,53.4,30.9,8.5,7.3,18093,13529,8882,3405,41.2,30.8,20.2,7.8,15322,16584,13719,6162,29.6,32,26.5,11.9,11642,17913,17584,7780,21.1984923250605,32.6171270416431,32.0180629654582,14.1663176678381,9560,19624,21400,9979,15.7852153955385,32.4026220629757,35.3351055925235,16.4770569489622
01045,AL,Dale County,4,5,4,5,9412,7274,2511,1895,44.6,34.5,11.9,9,8736,8575,4681,2898,35.1,34.5,18.8,11.6,7536,8199,9575,3948,25.8,28,32.7,13.5,6976,9159,10857,4398,22.2,29.2,34.6,14,5218,10094,11915,5793,15.8025439127801,30.5693519079346,36.084191399152,17.5439127801333,5093,10376,11859,6278,15.1550318395525,30.8754389097185,35.2883413676129,18.6811878831161
01047,AL,Dallas County,4,5,4,5,15421,6357,2219,2329,58.6,24.1,8.4,8.8,13407,8590,3575,3265,46.5,29.8,12.4,11.3,11488,8010,5448,3474,40.4,28.2,19.2,12.2,8524,9646,6568,4004,29.7,33.6,22.9,13.9,6884,9841,7461,3723,24.6658783904834,35.2610269088824,26.733311834892,13.3397828657422,3709,10065,8304,4241,14.0924807173525,38.2423344351989,31.5513507352103,16.1138341122383
01049,AL,DeKalb County,6,6,6,6,17375,4853,861,884,72.5,20.2,3.6,3.7,18316,8936,2888,1808,57.3,28,9,5.7,16665,10770,5529,2520,47,30.4,15.6,7.1,15469,14549,9194,3528,36.2,34,21.5,8.3,13811,16669,11738,4623,29.4848530133857,35.5863452957879,25.0592429709016,9.86955871992485,10522,16172,14623,6969,21.7909953195543,33.4921095141449,30.2841403305306,14.4327548357702
01051,AL,Elmore County,2,2,2,2,11066,4755,1063,967,62,26.6,6,5.4,10585,9169,2722,2567,42.3,36.6,10.9,10.3,10518,10188,6695,4031,33.5,32.4,21.3,12.8,9679,14576,11749,7173,22.4,33.8,27.2,16.6,7329,18197,16358,11206,13.8048596722547,34.2757581465436,30.8118289696741,21.1075532115276,7459,19351,18732,14830,12.355065262042,32.0529384482873,31.0276287020473,24.5643675876234
01053,AL,Escambia County,6,6,6,6,12205,4721,836,886,65.4,25.3,4.5,4.8,10842,7230,2365,1586,49.2,32.8,10.7,7.2,9037,7841,3942,1707,40.1,34.8,17.5,7.6,8030,8860,5927,2693,31.5,34.7,23.2,10.6,6508,9156,7369,3197,24.8112847884102,34.9065955013344,28.0937857415174,12.1883339687381,4697,11249,6543,3227,18.2648934515477,43.7431948981179,25.443303779748,12.5486078705864
01055,AL,Etowah County,3,2,3,2,31249,14834,3927,2765,59.2,28.1,7.4,5.2,27842,20344,8053,5491,45.1,33,13,8.9,23588,20194,15201,6689,35.9,30.7,23.1,10.2,18115,22531,19811,9372,25.9,32.3,28.4,13.4,13038,23262,24253,10830,18.2648529761988,32.5875908829833,33.9758766092767,15.1716795315411,10014,24491,24986,13067,13.8013726949475,33.7536867058078,34.4358995562171,18.0090410430277
01057,AL,Fayette County,6,6,6,6,6552,2043,438,360,69.8,21.8,4.7,3.8,6340,3322,756,820,56.4,29.6,6.7,7.3,5060,3700,1917,995,43.4,31.7,16.4,8.5,4265,4404,2753,1157,33.9,35,21.9,9.2,2916,4690,3047,1393,24.2072057114395,38.9340860036527,25.2947036360618,11.5640046488461,1951,4714,3472,1361,16.9681683771091,40.9984345103496,30.1965559227692,11.8368411897721
01059,AL,Franklin County,6,6,6,6,9158,3413,558,467,67.4,25.1,4.1,3.4,9431,5062,1651,1029,54.9,29.5,9.6,6,8212,5640,3171,1269,44.9,30.8,17.3,6.9,7904,6363,4572,2021,37.9,30.5,21.9,9.7,5671,7119,5704,2560,26.9354991925525,33.8130521516101,27.0922390044647,12.1592096513727,4381,9016,4922,3050,20.5016612850391,42.1919603163461,23.0333660910665,14.2730123075483
01061,AL,Geneva County,3,2,3,2,8446,2921,486,554,68.1,23.5,3.9,4.5,7816,4500,1296,861,54,31.1,9,5.9,6896,4924,2597,1058,44.6,31.8,16.8,6.8,6046,5626,4390,1526,34.4,32,25,8.7,4631,6956,5113,2037,24.7158029567167,37.1244062550035,27.2882531888776,10.8715375994023,3294,6879,6103,2538,17.5082385457638,36.5631976187945,32.4386095460827,13.489954289359
01063,AL,Greene County,3,2,8,6,3879,753,328,342,73.2,14.2,6.2,6.5,3488,1281,478,558,60.1,22.1,8.2,9.6,2734,1727,838,618,46.2,29.2,14.2,10.4,2182,2165,1205,652,35.2,34.9,19.4,10.5,1457,2349,1466,694,24.4217230975528,39.3731143144485,24.5725779416695,11.6325846463292,861,2173,1797,703,15.5583664618721,39.2663534513914,32.4719913263462,12.7032887603903
01065,AL,Hale County,3,2,3,2,5803,1322,309,391,74.2,16.9,3.9,5,5207,2007,646,564,61.8,23.8,7.7,6.7,4218,2862,1342,822,45.6,31,14.5,8.9,3683,3803,2247,858,34.8,35.9,21.2,8.1,2809,3928,2499,1227,26.8469846124438,37.5418140112778,23.8841632419,11.7270381343783,1890,3943,2664,1593,18.7314172447968,39.0782953419227,26.402378592666,15.7879088206145
01067,AL,Henry County,3,2,3,2,5087,1456,353,349,70.2,20.1,4.9,4.8,5051,2379,804,779,56,26.4,8.9,8.6,4121,2871,2123,817,41.5,28.9,21.4,8.2,3654,3192,2576,1545,33.3,29.1,23.5,14.1,2532,4369,3277,1903,20.9585299230196,36.1642248158265,27.1252379769887,15.7520072841652,2280,3931,3358,2633,18.6854613997705,32.2160301589903,27.520078675627,21.5784297656122
01069,AL,Houston County,3,2,3,2,17385,8637,2189,2133,57.3,28.5,7.2,7,17844,13980,5521,5435,41.7,32.7,12.9,12.7,16226,15026,12206,7696,31.7,29.4,23.9,15,13771,17809,16274,10817,23.5,30.4,27.7,18.4,11414,23426,20239,13136,16.7323902367514,34.3414205086858,29.6694275452613,19.2567617093015,9006,23633,24570,16350,12.2432333229109,32.127951712231,33.4017591321252,22.2270558327329
01071,AL,Jackson County,6,5,6,5,15217,4476,877,716,71.5,21,4.1,3.4,15423,9042,3094,1996,52.2,30.6,10.5,6.8,12932,9876,5568,2471,41.9,32,18.1,8,12006,12707,7924,3798,33,34.9,21.7,10.4,9316,13553,9403,4914,25.0524390899801,36.4465121282203,25.2863981068144,13.2146506749852,6627,14431,10579,6072,17.5740539393779,38.2693786629187,28.0543106420218,16.1022567556817
01073,AL,Jefferson County,1,1,1,1,186882,101656,32182,33827,52.7,28.7,9.1,9.5,141531,132921,63342,63229,35.3,33.1,15.8,15.8,111325,120393,109272,84718,26.2,28.3,25.7,19.9,82950,121233,123142,106833,19.1,27.9,28.4,24.6,56047,120355,134419,128710,12.7515465348292,27.3825964493972,30.5823707542813,29.2834862614924,41479,121180,137209,159041,9.03861114077083,26.4061066573111,29.8989560021704,34.6563261997477
01075,AL,Lamar County,9,10,8,7,6105,1522,350,284,73.9,18.4,4.2,3.4,5583,2988,640,580,57,30.5,6.5,5.9,4802,3441,1321,631,47.1,33.8,13,6.2,3759,4036,2125,838,34.9,37.5,19.8,7.8,2427,4010,2751,1038,23.7336201838451,39.2137688245648,26.9020144729122,10.1505965186779,1745,4151,3062,990,17.5412143144351,41.7269802975472,30.7800562927222,9.95174909529554
01077,AL,Lauderdale County,3,2,3,2,20423,10109,2924,3016,56,27.7,8,8.3,19666,15561,5109,6044,42.4,33.6,11,13,16520,16585,9881,8450,32.1,32.2,19.2,16.4,13915,20105,13993,10881,23.6,34.1,23.8,18.5,10497,21061,17406,13704,16.7501755281803,33.607263675241,27.774940958703,21.8676198378758,7275,22572,18101,16396,11.3064155165983,35.0801939574785,28.1316051224667,25.4817854034564
01079,AL,Lawrence County,3,2,3,2,9757,3115,485,328,71.3,22.8,3.5,2.4,9514,5396,1101,665,57.1,32.4,6.6,4,8663,7293,2331,1211,44.4,37.4,12,6.2,7872,9029,4270,1723,34.4,39.4,18.7,7.5,5132,9166,5953,3023,22.0503566211223,39.3830024920512,25.5778980836986,12.988742803128,3912,9642,6211,3568,16.76595379934,41.3234474778211,26.61895169931,15.2916470235289
01081,AL,Lee County,3,2,3,2,13597,5933,2498,4386,51.5,22.5,9.5,16.6,13621,9860,4712,7777,37.9,27.4,13.1,21.6,12179,11714,10091,11500,26.8,25.8,22.2,25.3,11557,16576,16686,17351,18.6,26.7,26.8,27.9,11229,21979,22042,25136,13.9688502973155,27.3418256910407,27.4201975468365,31.2691264648073,9095,23254,32377,40727,8.62469536191479,22.0515300655268,30.7027775407053,38.6209970318531
01083,AL,Limestone County,2,2,2,2,13226,5239,1411,1309,62.4,24.7,6.7,6.2,12837,8272,2648,2277,49.3,31.8,10.2,8.7,12856,10620,6585,4811,36.9,30.5,18.9,13.8,11081,14102,10924,7349,25.5,32.5,25.1,16.9,10757,17625,16017,12414,18.9340467850668,31.0228292820305,28.1924911551934,21.8506327777093,9573,19395,21892,20159,13.4794914037089,27.3095932074515,30.8255537250595,28.3853616637801
01085,AL,Lowndes County,2,2,2,2,4077,919,272,275,73.6,16.6,4.9,5,3629,1722,531,430,57.5,27.3,8.4,6.8,3007,2199,1170,566,43.3,31.7,16.9,8.2,2925,2731,1626,901,35.7,33.4,19.9,11,1769,2891,1717,1052,23.8120877641674,38.9150625925427,23.1121281464531,14.1607214968367,1094,3094,1900,1083,15.2558917863617,43.1460047413192,26.4956073072096,15.1024961651095
01087,AL,Macon County,6,5,6,6,7510,1937,1045,1810,61,15.7,8.5,14.7,6380,3172,1871,2526,45.7,22.7,13.4,18.1,5236,3195,2852,2476,38.1,23.2,20.7,18,4188,3486,3664,2617,30,25,26.3,18.8,2640,3758,4005,2512,20.4413472706156,29.0979481223384,31.0104529616725,19.4502516453736,2067,3765,4044,2663,16.4845681473802,30.0263178881888,32.2513757077917,21.2377382566393
01089,AL,Madison County,2,2,2,2,34090,28255,12537,17289,37,30.7,13.6,18.8,32899,34718,18930,23506,29.9,31.5,17.2,21.4,30211,35243,41361,46049,19.8,23.1,27.1,30.1,26308,39591,52676,61814,14.6,21.9,29.2,34.3,23316,48511,65908,83642,10.5322594488136,21.9132972259991,29.7718371827245,37.7826061424629,21084,50364,74888,116323,8.02713784793211,19.17467134193,28.511492086698,44.2866987234399
01091,AL,Marengo County,7,11,7,11,7786,2557,757,761,65.6,21.6,6.4,6.4,7127,4241,1181,1207,51.8,30.8,8.6,8.8,5425,4840,2173,1612,38.6,34.4,15.5,11.5,4020,5351,3223,1732,28.1,37.4,22.5,12.1,2386,5311,3882,2482,16.9689211293649,37.7711400327146,27.6082782163431,17.6516606215774,1750,4653,4071,2570,13.4161300214658,35.6715731370745,31.2097516099356,19.7025452315241
01093,AL,Marion County,8,4,7,11,9771,2937,448,484,71.6,21.5,3.3,3.5,10347,5194,1298,1085,57.7,29,7.2,6.1,9728,5584,2852,1301,50,28.7,14.7,6.7,7962,7107,4823,1719,36.8,32.9,22.3,8,6140,7605,6058,1887,28.3079760258183,35.0622406639004,27.9299216228677,8.69986168741355,3921,7472,6963,2649,18.6669840514163,35.5724827422042,33.1492501785289,12.6112830278505
01095,AL,Marshall County,4,5,4,5,19838,6898,1791,1573,65.9,22.9,6,5.2,19513,11947,4260,3377,49.9,30.6,10.9,8.6,17985,13615,9719,5359,38.5,29.2,20.8,11.5,16845,16758,13719,7639,30.6,30.5,25,13.9,15665,19643,16821,9448,25.4396933920132,31.8998976890722,27.3170177176543,15.3433912012602,10675,20178,20053,13852,16.4844497977084,31.1590845918651,30.9660582476296,21.3904073627969
01097,AL,Mobile County,2,2,2,2,92179,43792,12675,12072,57.4,27.2,7.9,7.5,77046,69871,29075,24926,38.3,34.8,14.5,12.4,69340,75114,51722,36078,29.9,32.3,22.3,15.5,58223,79822,65452,46625,23.3,31.9,26.2,18.6,43800,89666,79929,54313,16.3611098659734,33.4939561014239,29.8567842574746,20.2881497751281,34027,95988,83212,67053,12.1403596403596,34.2471813900385,29.6888825460254,23.9235764235764
01099,AL,Monroe County,7,11,7,11,7137,2314,544,604,67.3,21.8,5.1,5.7,6079,4060,1107,1068,49.4,33,9,8.7,5799,4478,2413,1538,40.8,31.5,17,10.8,4939,5285,3341,1813,32.1,34.4,21.7,11.8,3695,6305,3845,1514,24.0575558304577,41.0508496646917,25.034181912885,9.85741259196562,2440,6205,3435,1787,17.595730871854,44.7465205163338,24.7710391577125,12.8867094540997
